code,system
P1...00,readv2
101013.0,med
101493.0,med
102628.0,med
103284.0,med
104943.0,med
105767.0,med
106579.0,med
107144.0,med
107377.0,med
109243.0,med
109893.0,med
21802.0,med
31775.0,med
3336.0,med
3947.0,med
42497.0,med
43593.0,med
46790.0,med
47288.0,med
47827.0,med
48609.0,med
50365.0,med
50565.0,med
52683.0,med
5306.0,med
53471.0,med
53578.0,med
53929.0,med
5431.0,med
56362.0,med
56386.0,med
57113.0,med
57243.0,med
57611.0,med
59218.0,med
59380.0,med
60623.0,med
61862.0,med
63513.0,med
64717.0,med
65246.0,med
65936.0,med
66516.0,med
67351.0,med
67708.0,med
67878.0,med
68221.0,med
6866.0,med
69370.0,med
69397.0,med
70923.0,med
71525.0,med
72018.0,med
72928.0,med
73085.0,med
73608.0,med
73712.0,med
90482.0,med
91600.0,med
93902.0,med
94598.0,med
95018.0,med
95478.0,med
96407.0,med
96709.0,med
9722.0,med
98280.0,med
98298.0,med
98811.0,med
99281.0,med
99299.0,med
99332.0,med
99894.0,med
